YEAR,MONTH,REGION,SECTIONS,WEIGHT,WGTADJ,STATUS,PRICE,SQFT,BEDROOMS,TITLED,LOCATION,FOUNDATION,SECURED
2014,1,3,2,17.38928571,1.081805946,2,67300,1984,3,2,3,3,1
2014,1,1,1,4.816666667,0.927452179,2,44900,960,1,3,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,106600,1904,3,2,1,2,1
2014,1,2,2,2.427272727,1.081805946,2,76100,1404,3,2,3,1,9
2014,1,2,1,4.854545455,0.927452179,1,42700,896,3,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,96000,1792,1,2,3,2,1
2014,1,2,2,2.427272727,1.081805946,2,91100,1680,3,3,1,2,1
2014,1,2,2,2.427272727,1.081805946,2,100200,1904,3,2,1,3,1
2014,1,3,1,34.77857143,0.927452179,2,53600,1216,3,2,3,1,9
2014,1,4,2,5.784210526,1.081805946,2,115700,2500,3,2,3,2,1
2014,1,2,2,2.427272727,1.081805946,2,89200,1624,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,48100,1056,3,2,1,3,1
2014,1,2,1,4.854545455,0.927452179,2,67100,1300,3,2,1,3,1
2014,1,4,2,5.784210526,1.081805946,2,145000,1485,1,2,1,2,1
2014,1,2,2,2.427272727,1.081805946,2,112400,2040,3,2,1,3,1
2014,1,3,2,17.38928571,1.081805946,2,71900,1792,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,62700,1408,3,2,3,3,1
2014,1,3,2,17.38928571,1.081805946,2,62500,1344,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,95900,1620,3,2,3,3,1
2014,1,2,2,2.427272727,1.081805946,1,69900,1456,3,9,9,9,9
2014,1,1,2,2.408333333,1.081805946,2,104700,2000,3,2,3,3,1
2014,1,4,1,11.56842105,0.927452179,2,49600,896,1,2,1,3,1
2014,1,1,2,2.408333333,1.081805946,1,76300,1248,3,9,9,9,9
2014,1,2,2,2.427272727,1.081805946,2,83400,1456,3,2,1,2,1
2014,1,4,2,5.784210526,1.081805946,2,73100,1152,3,2,1,3,1
2014,1,2,2,2.427272727,1.081805946,2,95000,2400,3,2,3,2,1
2014,1,3,2,17.38928571,1.081805946,2,56300,1456,3,2,3,1,9
2014,1,2,2,2.427272727,1.081805946,2,82400,1680,3,2,3,2,1
2014,1,2,2,2.427272727,1.081805946,2,110000,2400,3,1,3,2,1
2014,1,5,3,3.856140351,1.081805946,2,87300,1568,3,2,3,3,1
2014,1,3,1,34.77857143,0.927452179,2,46900,1312,1,1,3,2,1
2014,1,4,2,5.784210526,1.081805946,2,98300,1890,3,3,3,3,1
2014,1,3,2,17.38928571,1.081805946,1,95000,2128,3,9,9,9,9
2014,1,1,1,4.816666667,0.927452179,1,36900,784,1,9,9,9,9
